Version=0.9
1,12,2,13,1=140003
1,12,2,13,4=4996
1,12,2,13,6=3761
1,12,2,13,3=3122
1,12,2,13,2=262959
1,12,2,13,5=276077
1,12,2,0,1=1470604
1,12,2,13,7=443202
1,12,2,26,53=18113
0,12,2,13,1=276092
0,12,2,13,4=228678
0,12,2,13,6=110589
0,12,2,13,3=156826
0,12,2,13,2=30605
0,12,2,13,5=3814030
0,12,2,0,1=64334
0,12,2,13,7=699917
1,12,2,0,3=779018
1,12,2,13,8=9993
1,12,2,0,2=1130141
1,12,2,13,9=694234
0,12,2,0,3=68706
0,12,2,13,8=545045
0,12,2,0,2=81823
0,12,2,13,9=821531
1,12,2,0,4=777769
1,12,2,13,10=807416
1,12,2,0,5=1419819
1,12,2,0,6=1074920
1,12,2,13,12=183182
1,12,2,13,11=979245
0,12,2,0,4=44347
0,12,2,13,10=780241
0,12,2,0,5=501560
0,12,2,0,6=580884
0,12,2,13,12=428348
0,12,2,13,11=1002495
1,12,2,13,13=967378
0,12,2,13,13=593854
1,12,2,1,1=15615
1,12,2,11,85=19987
1,12,2,1,13=4371
1,12,2,13,16=302934
1,12,2,13,20=1456863
1,12,2,1,12=39974
1,12,2,13,29=464707
1,12,2,13,32=506572
1,12,2,13,19=1122698
1,12,2,13,35=274319
1,12,2,13,28=4372
1,12,2,13,25=350520
1,12,2,13,24=219924
1,12,2,13,15=11242
1,12,2,13,14=9368
1,12,2,13,21=411736
1,12,2,13,17=486861
1,12,2,13,22=299366
1,12,2,13,18=79383
1,12,2,13,30=14385
1,12,2,13,23=955587
1,12,2,13,27=636863
1,12,2,13,26=13135
1,12,2,13,31=751215
1,12,2,13,34=624962
1,12,2,13,33=142491
1,12,2,26,54=23110
1,12,2,26,55=29355
1,12,2,26,56=53716
0,12,2,1,13=24359
0,12,2,13,16=3772806
0,12,2,13,20=36227
0,12,2,1,12=11242
0,12,2,13,29=3794667
0,12,2,13,32=171144
0,12,2,13,19=28106
0,12,2,13,35=209243
0,12,2,13,28=9369
0,12,2,13,25=428480
0,12,2,13,24=320423
0,12,2,13,21=624607
0,12,2,13,15=168690
0,12,2,13,14=359902
0,12,2,13,17=1104361
0,12,2,13,22=717549
0,12,2,13,23=686288
0,12,2,13,18=957472
0,12,2,13,26=707359
0,12,2,13,30=992497
0,12,2,13,27=740609
0,12,2,13,33=854984
0,12,2,13,31=1258109
0,12,2,13,34=1246232
1,12,2,13,36=8744
1,12,2,13,37=313224
1,12,2,13,38=6870
0,12,2,13,36=1004987
0,12,2,13,37=1141845
0,12,2,13,38=28730
1,12,2,13,39=1136866
1,12,2,0,8=1034347
1,12,2,13,40=869642
1,12,2,0,7=2326841
1,12,2,13,41=786075
0,12,2,13,39=2067299
0,12,2,0,8=1577512
0,12,2,13,40=816033
0,12,2,0,7=2528865
0,12,2,13,41=627917
1,12,2,13,48=841285
1,12,2,13,49=1084288
1,12,2,13,44=1134368
1,12,2,13,47=71888
1,12,2,13,42=637042
1,12,2,13,45=351949
1,12,2,13,43=1113079
1,12,2,13,46=562879
0,12,2,13,48=1474976
0,12,2,13,49=1330680
0,12,2,13,44=1370667
0,12,2,13,47=995247
0,12,2,13,42=1006232
0,12,2,13,45=654959
0,12,2,13,43=1571926
0,12,2,13,46=908139
1,12,2,11,90=175514
1,12,2,13,50=349155
0,12,2,1,14=82447
0,12,2,13,50=2637894
1,12,2,13,51=14366
0,12,2,13,51=627987
1,12,2,1,14=161773
0,12,2,1,15=34978
1,12,2,1,15=166145
0,12,2,1,24=10618
0,12,2,1,25=522795
0,12,2,33,1=14990
0,12,2,1,27=139288
0,12,2,1,26=262337
0,12,2,1,23=21860
1,12,2,1,24=3122
1,12,2,33,2=7495
1,12,2,1,28=3122
1,12,2,1,27=3748
1,12,2,1,26=119298
1,12,2,26,66=31853
0,12,2,33,2=30605
0,12,2,1,28=9994
1,12,2,1,23=246441
1,12,2,1,30=1873
1,12,2,11,95=16239
0,12,2,1,30=247346
0,12,2,1,31=79949
1,12,2,1,31=9368
1,12,2,13,52=6398
1,12,2,1,33=11867
0,12,2,13,52=383071
0,12,2,1,33=18115
1,12,2,0,6,BC=12491
0,12,2,0,6,BC=139288
1,12,2,13,53=389754
1,12,2,13,54=19987
1,12,2,13,55=121785
0,12,2,13,53=3811531
0,12,2,13,54=48720
0,12,2,13,55=247099
1,12,2,13,56=790575
0,12,2,1,29=677080
0,12,2,1,34=53090
0,12,2,13,56=442954
